x,y,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,LOCAL_DAY,TOTAL_SNOW,PROVINCE_CODE,MIN_TEMPERATURE,MAX_TEMPERATURE,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,ID,TOTAL_RAIN,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,STATION_NAME,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_MONTH,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,SNOW_ON_GROUND
-70.53333333333333,46.75,1941,,13,0,QC,-1.1,12.2,1941-09-13 00:00:00,,7050240,,,,,,0,,,,5.6,,7050240.1941.9.13,0,,0,,ARMAGH,,,,9,,12.4,
-70.53333333333333,46.75,1941,,14,0,QC,2.8,21.7,1941-09-14 00:00:00,,7050240,,,,,,0,,,,12.3,,7050240.1941.9.14,0,,0,,ARMAGH,,,,9,,5.7,
-70.53333333333333,46.75,1941,,15,0,QC,8.9,22.8,1941-09-15 00:00:00,,7050240,,,,,,10.9,,,,15.9,,7050240.1941.9.15,10.9,,0,,ARMAGH,,,,9,,2.1,
-70.53333333333333,46.75,1941,,16,0,QC,11.7,18.3,1941-09-16 00:00:00,,7050240,,,,,,4.3,,,,15,,7050240.1941.9.16,4.3,,0,,ARMAGH,,,,9,,3,
-70.53333333333333,46.75,1941,,17,0,QC,7.8,22.8,1941-09-17 00:00:00,,7050240,,,,,,4.6,,,,15.3,,7050240.1941.9.17,4.6,,0,,ARMAGH,,,,9,,2.7,
-70.53333333333333,46.75,1941,,18,0,QC,-5.6,15.6,1941-09-18 00:00:00,,7050240,,,,,,0,,,,5,,7050240.1941.9.18,0,,0,,ARMAGH,,,,9,,13,
-70.53333333333333,46.75,1941,,19,0,QC,-1.7,17.2,1941-09-19 00:00:00,,7050240,,,,,,0,,,,7.8,,7050240.1941.9.19,0,,0,,ARMAGH,,,,9,,10.2,
-70.53333333333333,46.75,1941,,20,0,QC,1.7,22.2,1941-09-20 00:00:00,,7050240,,,,,,0,,,,12,,7050240.1941.9.20,0,,0,,ARMAGH,,,,9,,6,
-70.53333333333333,46.75,1941,,21,0,QC,6.7,23.9,1941-09-21 00:00:00,,7050240,,,,,,0,,,,15.3,,7050240.1941.9.21,0,,0,,ARMAGH,,,,9,,2.7,
-70.53333333333333,46.75,1941,,22,0,QC,12.8,25.6,1941-09-22 00:00:00,,7050240,,,,,,0,,,,19.2,,7050240.1941.9.22,0,,1.2,,ARMAGH,,,,9,,0,
-70.53333333333333,46.75,1941,,23,0,QC,11.1,17.2,1941-09-23 00:00:00,,7050240,,,,,,0,,,,14.2,,7050240.1941.9.23,0,,0,,ARMAGH,,,,9,,3.8,
-70.53333333333333,46.75,1941,,24,0,QC,0,22.8,1941-09-24 00:00:00,,7050240,,,,,,0,,,,11.4,,7050240.1941.9.24,0,,0,,ARMAGH,,,,9,,6.6,
-70.53333333333333,46.75,1941,,25,0,QC,5.6,24.4,1941-09-25 00:00:00,,7050240,,,,,,0,,,,15,,7050240.1941.9.25,0,,0,,ARMAGH,,,,9,,3,
