x,y,TEMP,HUMIDEX_FLAG,LOCAL_DAY,STATION_PRESSURE,PRECIP_AMOUNT_FLAG,LOCAL_MONTH,LOCAL_DATE,DEW_POINT_TEMP,RELATIVE_HUMIDITY_FLAG,WINDCHILL,TEMP_FLAG,WIND_DIRECTION,STATION_NAME,PROVINCE_CODE,LOCAL_HOUR,UTC_YEAR,CLIMATE_IDENTIFIER,UTC_DATE,WIND_SPEED,STATION_PRESSURE_FLAG,RELATIVE_HUMIDITY,WIND_SPEED_FLAG,VISIBILITY,LOCAL_YEAR,DEW_POINT_TEMP_FLAG,ID,PRECIP_AMOUNT,UTC_DAY,WEATHER_FRE_DESC,WIND_DIRECTION_FLAG,WINDCHILL_FLAG,VISIBILITY_FLAG,WEATHER_ENG_DESC,HUMIDEX,UTC_MONTH
-73.34944444444444,45.29388888888889,27.2,,16,,,8,2020-08-16 15:00:00,16.1,,,,16,L'ACADIE,QC,15,2020,702LED4,2020-08-16T20:00:00,15,,51,,,2020,,702LED4.2020.8.16.15,0,16,ND,,,,NA,32,8
-73.34944444444444,45.29388888888889,26.6,,16,,,8,2020-08-16 16:00:00,16.3,,,,19,L'ACADIE,QC,16,2020,702LED4,2020-08-16T21:00:00,12,,53,,,2020,,702LED4.2020.8.16.16,0,16,ND,,,,NA,31,8
-73.34944444444444,45.29388888888889,26.0,,16,,,8,2020-08-16 17:00:00,15.3,,,,18,L'ACADIE,QC,17,2020,702LED4,2020-08-16T22:00:00,12,,52,,,2020,,702LED4.2020.8.16.17,0,16,ND,,,,NA,30,8
-73.34944444444444,45.29388888888889,24.2,,16,,,8,2020-08-16 18:00:00,16.4,,,,19,L'ACADIE,QC,18,2020,702LED4,2020-08-16T23:00:00,8,,62,,,2020,,702LED4.2020.8.16.18,0,16,ND,,,,NA,29,8
-73.34944444444444,45.29388888888889,21.2,,16,,,8,2020-08-16 19:00:00,16.9,,,,16,L'ACADIE,QC,19,2020,702LED4,2020-08-17T00:00:00,11,,76,,,2020,,702LED4.2020.8.16.19,0,17,ND,,,,NA,26,8
-73.34944444444444,45.29388888888889,20.0,,16,,,8,2020-08-16 20:00:00,16.8,,,,16,L'ACADIE,QC,20,2020,702LED4,2020-08-17T01:00:00,11,,82,,,2020,,702LED4.2020.8.16.20,0,17,ND,,,,NA,25,8
-73.34944444444444,45.29388888888889,20.7,,16,,,8,2020-08-16 21:00:00,16.0,,,,17,L'ACADIE,QC,21,2020,702LED4,2020-08-17T02:00:00,16,,74,,,2020,,702LED4.2020.8.16.21,0,17,ND,,,,NA,25,8
-73.34944444444444,45.29388888888889,18.9,,16,,,8,2020-08-16 22:00:00,16.0,,,,16,L'ACADIE,QC,22,2020,702LED4,2020-08-17T03:00:00,12,,83,,,2020,,702LED4.2020.8.16.22,0,17,ND,,,,NA,,8
-73.34944444444444,45.29388888888889,17.3,,16,,,8,2020-08-16 23:00:00,16.1,,,,16,L'ACADIE,QC,23,2020,702LED4,2020-08-17T04:00:00,10,,93,,,2020,,702LED4.2020.8.16.23,0,17,ND,,,,NA,,8
-73.34944444444444,45.29388888888889,17.1,,17,,,8,2020-08-17 00:00:00,15.9,,,,17,L'ACADIE,QC,0,2020,702LED4,2020-08-17T05:00:00,10,,93,,,2020,,702LED4.2020.8.17.0,0,17,ND,,,,NA,,8
-73.34944444444444,45.29388888888889,18.0,,17,,,8,2020-08-17 01:00:00,16.5,,,,16,L'ACADIE,QC,1,2020,702LED4,2020-08-17T06:00:00,9,,91,,,2020,,702LED4.2020.8.17.1,0,17,ND,,,,NA,,8
-73.34944444444444,45.29388888888889,18.6,,17,,,8,2020-08-17 02:00:00,16.6,,,,15,L'ACADIE,QC,2,2020,702LED4,2020-08-17T07:00:00,9,,88,,,2020,,702LED4.2020.8.17.2,0,17,ND,,,,NA,,8
-73.34944444444444,45.29388888888889,18.3,,17,,,8,2020-08-17 03:00:00,16.8,,,,18,L'ACADIE,QC,3,2020,702LED4,2020-08-17T08:00:00,12,,91,,,2020,,702LED4.2020.8.17.3,0,17,ND,,,,NA,,8
-73.34944444444444,45.29388888888889,17.6,,17,,,8,2020-08-17 04:00:00,16.7,,,,19,L'ACADIE,QC,4,2020,702LED4,2020-08-17T09:00:00,7,,95,,,2020,,702LED4.2020.8.17.4,0,17,ND,,,,NA,,8
-73.34944444444444,45.29388888888889,17.2,,17,,,8,2020-08-17 05:00:00,16.7,,,,18,L'ACADIE,QC,5,2020,702LED4,2020-08-17T10:00:00,7,,97,,,2020,,702LED4.2020.8.17.5,0,17,ND,,,,NA,,8
