x,y,STATION_NAME,STATION_PRESSURE_FLAG,WINDCHILL,UTC_DAY,CLIMATE_IDENTIFIER,VISIBILITY,UTC_YEAR,RELATIVE_HUMIDITY_FLAG,WINDCHILL_FLAG,WIND_SPEED,DEW_POINT_TEMP_FLAG,RELATIVE_HUMIDITY,HUMIDEX_FLAG,TEMP,WEATHER_ENG_DESC,DEW_POINT_TEMP,UTC_MONTH,PRECIP_AMOUNT,LOCAL_YEAR,TEMP_FLAG,WIND_DIRECTION_FLAG,LOCAL_DAY,HUMIDEX,WIND_DIRECTION,ID,PRECIP_AMOUNT_FLAG,LOCAL_MONTH,UTC_DATE,WIND_SPEED_FLAG,LOCAL_DATE,WEATHER_FRE_DESC,LOCAL_HOUR,VISIBILITY_FLAG,STATION_PRESSURE,PROVINCE_CODE
-73.34944444444444,45.29388888888889,L'ACADIE,M,,4,702LED4,,2018,,,8,,91,,12.2,NA,10.9,5,0.4,2018,,,4,,7,702LED4.2018.5.4.12,,5,2018-05-04T17:00:00,,2018-05-04 12:00:00,ND,12,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,4,702LED4,,2018,,,9,,94,,12.4,NA,11.3,5,1,2018,,,4,,7,702LED4.2018.5.4.13,,5,2018-05-04T18:00:00,,2018-05-04 13:00:00,ND,13,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,4,702LED4,,2018,,,9,,94,,13.0,NA,12.0,5,0,2018,,,4,,9,702LED4.2018.5.4.14,,5,2018-05-04T19:00:00,,2018-05-04 14:00:00,ND,14,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,4,702LED4,,2018,,,13,,92,,14.5,NA,13.1,5,0,2018,,,4,,15,702LED4.2018.5.4.15,,5,2018-05-04T20:00:00,,2018-05-04 15:00:00,ND,15,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,4,702LED4,,2018,,,15,,88,,15.7,NA,13.7,5,0,2018,,,4,,15,702LED4.2018.5.4.16,,5,2018-05-04T21:00:00,,2018-05-04 16:00:00,ND,16,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,4,702LED4,,2018,,,13,,97,,17.3,NA,16.7,5,9.5,2018,,,4,,28,702LED4.2018.5.4.17,,5,2018-05-04T22:00:00,,2018-05-04 17:00:00,ND,17,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,4,702LED4,,2018,,,8,,91,,17.5,NA,16.1,5,2.6,2018,,,4,,20,702LED4.2018.5.4.18,,5,2018-05-04T23:00:00,,2018-05-04 18:00:00,ND,18,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,5,702LED4,,2018,,,24,,85,,18.3,NA,15.7,5,0,2018,,,4,,19,702LED4.2018.5.4.19,,5,2018-05-05T00:00:00,,2018-05-04 19:00:00,ND,19,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,5,702LED4,,2018,,,24,,66,,19.6,NA,13.2,5,0,2018,,,4,,21,702LED4.2018.5.4.20,,5,2018-05-05T01:00:00,,2018-05-04 20:00:00,ND,20,,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,5,702LED4,,2018,,,26,,65,,18.8,NA,12.2,5,0,2018,,,4,,22,702LED4.2018.5.4.21,,5,2018-05-05T02:00:00,,2018-05-04 21:00:00,ND,21,,,QC
