x,y,UTC_DATE,UTC_DAY,STATION_PRESSURE,DEW_POINT_TEMP,WINDCHILL,TEMP_FLAG,WIND_SPEED,UTC_MONTH,VISIBILITY,WINDCHILL_FLAG,HUMIDEX_FLAG,STATION_NAME,WIND_DIRECTION_FLAG,WEATHER_FRE_DESC,STATION_PRESSURE_FLAG,CLIMATE_IDENTIFIER,RELATIVE_HUMIDITY_FLAG,DEW_POINT_TEMP_FLAG,LOCAL_DAY,TEMP,WIND_DIRECTION,WIND_SPEED_FLAG,LOCAL_DATE,PRECIP_AMOUNT_FLAG,LOCAL_HOUR,WEATHER_ENG_DESC,ID,RELATIVE_HUMIDITY,LOCAL_YEAR,PROVINCE_CODE,VISIBILITY_FLAG,UTC_YEAR,LOCAL_MONTH,PRECIP_AMOUNT,HUMIDEX
-73.34944444444444,45.29388888888889,2004-07-29T10:00:00,29,,15.6,,,6,7,,,,L'ACADIE,,ND,M,702LED4,,,29,15.8,24,,2004-07-29 05:00:00,,5,NA,702LED4.2004.7.29.5,99,2004,QC,M,2004,7,,
-73.34944444444444,45.29388888888889,2004-07-29T11:00:00,29,,16.5,,,4,7,,,,L'ACADIE,,ND,M,702LED4,,,29,16.7,20,,2004-07-29 06:00:00,,6,NA,702LED4.2004.7.29.6,99,2004,QC,M,2004,7,,
-73.34944444444444,45.29388888888889,2004-07-29T12:00:00,29,,17.8,,,6,7,,,,L'ACADIE,,ND,M,702LED4,,,29,18.2,24,,2004-07-29 07:00:00,,7,NA,702LED4.2004.7.29.7,98,2004,QC,M,2004,7,,
-73.34944444444444,45.29388888888889,2004-07-29T13:00:00,29,,18.5,,,9,7,,,,L'ACADIE,,ND,M,702LED4,,,29,20.0,24,,2004-07-29 08:00:00,,8,NA,702LED4.2004.7.29.8,91,2004,QC,M,2004,7,,26
-73.34944444444444,45.29388888888889,2004-07-29T14:00:00,29,,18.6,,,9,7,,,,L'ACADIE,,ND,M,702LED4,,,29,21.5,28,,2004-07-29 09:00:00,,9,NA,702LED4.2004.7.29.9,84,2004,QC,M,2004,7,,28
-73.34944444444444,45.29388888888889,2004-07-29T15:00:00,29,,18.1,,,11,7,,,,L'ACADIE,,ND,M,702LED4,,,29,22.4,28,,2004-07-29 10:00:00,,10,NA,702LED4.2004.7.29.10,77,2004,QC,M,2004,7,,28
-73.34944444444444,45.29388888888889,2004-07-29T16:00:00,29,,17.8,,,6,7,,,,L'ACADIE,,ND,M,702LED4,,,29,24.1,30,,2004-07-29 11:00:00,,11,NA,702LED4.2004.7.29.11,68,2004,QC,M,2004,7,,30
-73.34944444444444,45.29388888888889,2004-07-29T17:00:00,29,,17.2,,,7,7,,,,L'ACADIE,,ND,M,702LED4,,,29,25.0,27,,2004-07-29 12:00:00,,12,NA,702LED4.2004.7.29.12,62,2004,QC,M,2004,7,,30
-73.34944444444444,45.29388888888889,2004-07-29T18:00:00,29,,17.6,,,7,7,,,,L'ACADIE,,ND,M,702LED4,,,29,26.0,26,,2004-07-29 13:00:00,,13,NA,702LED4.2004.7.29.13,60,2004,QC,M,2004,7,,32
-73.34944444444444,45.29388888888889,2004-07-29T19:00:00,29,,17.3,,,9,7,,,,L'ACADIE,,ND,M,702LED4,,,29,25.8,26,,2004-07-29 14:00:00,,14,NA,702LED4.2004.7.29.14,59,2004,QC,M,2004,7,,31
-73.34944444444444,45.29388888888889,2004-07-29T20:00:00,29,,17.2,,,7,7,,,,L'ACADIE,,ND,M,702LED4,,,29,27.2,26,,2004-07-29 15:00:00,,15,NA,702LED4.2004.7.29.15,54,2004,QC,M,2004,7,,33
-73.34944444444444,45.29388888888889,2004-07-29T21:00:00,29,,16.5,,,6,7,,,,L'ACADIE,,ND,M,702LED4,,,29,27.1,23,,2004-07-29 16:00:00,,16,NA,702LED4.2004.7.29.16,52,2004,QC,M,2004,7,,32
