x,y,PROVINCE_CODE,WINDCHILL,VISIBILITY,LOCAL_DATE,UTC_MONTH,WIND_DIRECTION_FLAG,STATION_PRESSURE_FLAG,WIND_SPEED_FLAG,LOCAL_HOUR,UTC_YEAR,CLIMATE_IDENTIFIER,DEW_POINT_TEMP,UTC_DAY,DEW_POINT_TEMP_FLAG,RELATIVE_HUMIDITY,VISIBILITY_FLAG,PRECIP_AMOUNT,UTC_DATE,RELATIVE_HUMIDITY_FLAG,HUMIDEX,TEMP_FLAG,TEMP,LOCAL_DAY,STATION_PRESSURE,PRECIP_AMOUNT_FLAG,WEATHER_ENG_DESC,WINDCHILL_FLAG,HUMIDEX_FLAG,LOCAL_MONTH,WEATHER_FRE_DESC,STATION_NAME,WIND_DIRECTION,ID,WIND_SPEED,LOCAL_YEAR
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 01:00:00,6,,M,,1,1996,702LED4,10.9,6,,82,M,,1996-06-06T06:00:00,,,,14.0,6,,,NA,,,6,ND,L'ACADIE,25,702LED4.1996.6.6.1,13,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 02:00:00,6,,M,,2,1996,702LED4,10.7,6,,83,M,,1996-06-06T07:00:00,,,,13.6,6,,,NA,,,6,ND,L'ACADIE,25,702LED4.1996.6.6.2,9,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 03:00:00,6,,M,,3,1996,702LED4,10.2,6,,83,M,,1996-06-06T08:00:00,,,,13.1,6,,,NA,,,6,ND,L'ACADIE,25,702LED4.1996.6.6.3,11,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 04:00:00,6,,M,,4,1996,702LED4,9.9,6,,80,M,,1996-06-06T09:00:00,,,,13.2,6,,,NA,,,6,ND,L'ACADIE,26,702LED4.1996.6.6.4,11,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 05:00:00,6,,M,,5,1996,702LED4,10.2,6,,79,M,,1996-06-06T10:00:00,,,,13.8,6,,,NA,,,6,ND,L'ACADIE,28,702LED4.1996.6.6.5,11,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 06:00:00,6,,M,,6,1996,702LED4,10.4,6,,78,M,,1996-06-06T11:00:00,,,,14.2,6,,,NA,,,6,ND,L'ACADIE,26,702LED4.1996.6.6.6,13,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 07:00:00,6,,M,,7,1996,702LED4,11.1,6,,79,M,,1996-06-06T12:00:00,,,,14.7,6,,,NA,,,6,ND,L'ACADIE,27,702LED4.1996.6.6.7,19,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 08:00:00,6,,M,,8,1996,702LED4,11.3,6,,78,M,,1996-06-06T13:00:00,,,,15.1,6,,,NA,,,6,ND,L'ACADIE,27,702LED4.1996.6.6.8,17,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 09:00:00,6,,M,,9,1996,702LED4,11.5,6,,76,M,,1996-06-06T14:00:00,,,,15.7,6,,,NA,,,6,ND,L'ACADIE,27,702LED4.1996.6.6.9,15,1996
-73.34944444444444,45.29388888888889,QC,,,1996-06-06 10:00:00,6,,M,,10,1996,702LED4,12.2,6,,75,M,,1996-06-06T15:00:00,,,,16.6,6,,,NA,,,6,ND,L'ACADIE,25,702LED4.1996.6.6.10,17,1996
